"HolderAddress","Balance","PendingBalanceUpdate"
"0x7eb15ff60f171380724655ca0572852802ae4688","10","No"
"0x7ff132f942dae35275bc5982832d97679b8f457b","54","No"
"0x7ff8ffa591391dec219f8a4120f78daf9f3fb85c","200000","No"
"0x8037b4fcfc58a4e3847e55b3f4b2fd5002293fb9","1001.32","No"
"0x803defd245659150cbc86873a0ae3c8b06d7c485","0.95","No"
"0x80f51bf1cc8667003af9fb60372f4355e950136d","13","No"
"0x81a58058df9dc84106781ed18def2837eeee308c","9","No"
"0x83259ce184540c101ba4d8b217eac0c96c729b03","24.70246","No"
"0x8405ffd337efed846b72295b6107936a7c055137","10","No"
"0x841538aca3838efcd55ff2539c09ec5b77182193","46.4","No"
"0x848edf0467d409564138cba83d69e03df8f19faa","75.946017","No"
"0x84c4b427c73fa3c8fc068df420e8910c7b1d851c","87.43185","No"
"0x84f24b4a7b2b06c0b0e6385123d47e268e59cffc","0.004","No"
"0x850202e6495692f2892dd36885ffb5e59e8d130d","2297.2","No"
"0x85a500f09b15e7b64ea5fc8387f40e30cf652b66","13.8458","No"
"0x86406e8ce2afb13b16d9b13cd1caf06fbe40d5b8","12607.20528","No"
"0x864263449fec140702d0b094d0b2c21f4126f7ea","0.6","No"
"0x86b47ea61ca81abc8d55faafd8d7ad09821f5646","300.27","No"
"0x87031ead8d664522e8508c3b69fa09cf1eb01add","93","No"
"0x87228319742b90eb2322ba0e04f4749b68e44589","108.527","No"
"0x876eabf441b2ee5b5b0554fd502a8e0600950cfa","15316.01258092","No"
"0x877a5b52139a5cc3335953f432c6003b002c340a","49.55636014","No"
"0x877ccfab431c430975bc0dfeef5af7c64912622b","2.3","No"
"0x878bce522c077c62cb1ad1e488c65c0a2e58fe9b","286","No"
"0x87f69866a836aaa1cdc35fd22aa8b2161dbf0f8d","50","No"
"0x881a9aaf8b246344210bd09e5b6767321ebfd1d8","0.047094","No"
"0x8839ebd49d2b9cc4b72ef6d34a4e8ef4047218a0","0.99","No"
"0x887593ee0d809b3cd0eecebd1f65a9683660a85b","588.4659","No"
"0x895cc4434c243cec61a1a685425397320dfeeafe","33","No"
"0x89a1a02d89ae22c82f6f2e57548fada5016b5a0a","375.279","No"
"0x89a7375cc4abb1b61e3a42fc6af48ae962a0e19d","20.9853","No"
"0x89cea0f896f88d4a1cc45ccfd864903c38d1789d","8.5","No"
"0x89e2bdcdf51d25ede51bd024153bc3fbe9ff0548","86.4475968","No"
"0x8a02d348ab05ddeaaa2a357e757d5d94e70384af","6.0643276","No"
"0x8a0c62b9f61449cfa0a5ffd8513df9df2bfc409c","867","No"
"0x8a1c9ff20cda04710bb262638b298152541e3d12","99.4044886","No"
"0x8a8a2ed1728216689e5c947d862a8d5e4bca4f86","99.955663","No"
"0x8ab89ab0993aabae60d98617c30326832713d49b","9.3981116","No"
"0x8b65f9ab5c311f50f81b41d4bdf3a113a2be31fb","8","No"
"0x8c11437e11a1ef48dcfb4d6d5d5af3095bcc9b5a","0.3707346","No"
"0x8d0c175db1d40c1e49fd4ef28c19d3051774e17c","5","No"
"0x8d8acc8908f1637bb2c43b8d6756d237eefc61ae","0.51","No"
"0x8dc6fdd03f727adedb161721f5eff279603a4916","9","No"
"0x8ebe893ba6a3b7a1cff3a090a4e0ad6a8587b18f","3","No"
"0x90b5bc52bbb6f33bc9183b9c8c0cefcd40a16c82","3","No"
"0x91f884a25e3c8d4fa5e6d1bff14c14da09494f24","19.9","No"
"0x92369d0de3003b40730d000543aeb98e975cf655","19","No"
"0x924cd9b60f4173dcdd5254ddd38c4f9cab68fe6b","25","No"
"0x9378da27e19e1cd30d0bcc1c90fcca3a683cfe28","61.45876","No"
"0x93a4b53f52627b2ee019d4a471e408981c45e0f0","51.71","No"
"0x93be51af76dc935779f774dad126f99ff9bf1988","605000","No"
"0x93d23e92bd25958dcc465985c371eb0eabd09a76","52.0966918","No"
"0x93dc54512aa7b228191833b2e3341530abba9868","20.021518","No"
"0x93dd6092090c61a39fa0be6bb35c317bcf727075","6652.62591768","No"
"0x9404dac19f32ee2c0c17c6dde640ee73c7b589b5","154.2","No"
"0x95616a3885f9f5357ab4092ee811ed0fce5e0318","73.950579","No"
"0x958f622f5ff7b472fd3eb7a3c6c92e3b2f2b0813","20","No"
"0x95e0c72bb9726d5e2ff8632ef800d195fbb568be","26","No"
"0x966f9c8f8f4d9e7517390c800782f9917e65811d","55.4","No"
"0x97137466bc8018531795217f0ecc4ba24dcba5c1","71928290.2477616","No"
"0x98000cb316d0dae21ce65e2a04a2ed01903e1478","3","No"
"0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd","181740.7016026","No"
"0x98d29f6b55b59cef1d6c4c9f9b065302989d23d1","0.05","No"
"0x99309cf73bf8770362e61873ae6edd5d432f19b3","433.69538","No"
"0x99d504151919cb71014e69bb86a6d0debc6b2320","9","No"
"0x99d9067244d363746f6b177f6bc8eb24e8dad8aa","50","No"
"0x99e4a1fc03f81b8d3d9039ce326720db31aa3373","8.5","No"
"0x9a1af4593defe3b5f0f6f432c28027f8242d42b0","36.48362269","No"
"0x9a32c5f1d20d5059111315de16a5884b12bd81dd","1.0082","No"
"0x9a445abbede1028967d5a3e0cc310ed9ab65a376","89.9623","No"
"0x9a92f02e88d62e8839aae770036fc33487440507","52","No"
"0x9acfdb07c5c8830d91df60ce134f606827bf74e6","323900","No"
"0x9b66137da669f2e6277832a3d2c91edfe963e64c","0.2","No"
"0x9c1a9ef283918dc086eb8ea9cfce12953bcb2b86","6232.33","No"
"0x9d14764bdeb50e7732f36dd7b74fa5421db4a1a7","1.8324","No"
"0x9d64c0cbaf8a1549d62cf04e2c02ea6246dab306","13.33","No"
"0x9db777aa4d2c06ca8dfce462c24e543f06c7edd6","0.17","No"
"0x9dc57560dc50ccfb7475b78b594b2444cfb7a1a5","29.66","No"
"0x9e03b0c90b40594ded1d8eff6f16c49a359eeea6","3641.85","No"
"0x9e4200aea741a1d0dfb0952a3d02a6829f704c7b","9.7982","No"
"0x9fc03a5b5c03c86a500c492a4dffd118b2b1bae4","63","No"
"0x9fd5f6ccb034bbac4c8add71427643f678c4e8bd","10000.88365995","No"
"0xa0769c822a677bb4a963a49c74350861e27db8ff","8.5","No"
"0xa079d7d26c9c42ee03f3d7b7c6746d9263c96ed1","61.5513","No"
